"Id","Name","Code"
"1","КОСТАНАЙ",NULL
"2","ЖЕЛЕЗОРУДН",NULL
"3","ТОБОЛ",NULL
"4","АПАНОВКА",NULL
"5","КАЗАНБАСЫ",NULL
"6","АМАНКАРГАЙ",NULL
"7","КУШМУРУН",NULL
"8","КОЙБАГАР",NULL
"9","ЧЕЛГАШИ",NULL
"10","КОВЫЛЬНАЯ",NULL
"11","СУРГАН",NULL
"12","ЕСИЛЬ",NULL
"13","ЖАКСЫ",NULL
"14","АТБАСАР",NULL
"15","ИРЧЕНКО",NULL
"16","ЖАЛТЫР",NULL
"17","АСТАНА-1",NULL
"18","АРШАЛЫ",NULL
"19","САРЫБЕЛ",NULL
"20","МЫРЗА",NULL
"21","КАРАГАНД С",NULL
"22","КАРАГАНД П",NULL
"23","КАРАБАС",NULL
"24","ЖАРЫК",NULL
"25","НИЛДЫ",NULL
"26","АКАДЫР",NULL
"27","БОСАГА",NULL
"28","КИИК",NULL
"29","МОЙЫНТЫ",NULL
"30","КАРАЖИНГИЛ",NULL
"31","АКЖОЛТАЙ",NULL
"32","САРЫ ШАГАН",NULL
"33","МЫНАРАЛ",NULL
"34","ШЫГАНАК",NULL
"35","ШУ",NULL
"36","ШОКПАР",NULL
"37","БЕЛ",NULL
"38","ОТАР",NULL
"39","ЧЕМОЛГАН",NULL
"40","АЛМАТЫ 1",NULL
